date;negativeSentiment;maelstromValue
2025-07-09 00:00:00;1223,000000;0,095962
2025-07-10 00:00:00;2553,000000;0,099345
2025-07-11 00:00:00;2522,000000;0,102232
2025-07-12 00:00:00;98,000000;0,092507
2025-07-15 00:00:00;1036,000000;0,088523
2025-07-16 00:00:00;2021,000000;0,089945
2025-07-17 00:00:00;2421,000000;0,093259
2025-07-18 00:00:00;8274,000000;0,125997
2025-07-19 00:00:00;279,000000;0,114816
2025-07-22 00:00:00;1599,000000;0,111463
2025-07-23 00:00:00;1759,000000;0,109260
2025-07-24 00:00:00;1678,000000;0,106864
2025-07-25 00:00:00;3390,000000;0,113412
2025-07-26 00:00:00;97,000000;0,102564
2025-07-29 00:00:00;721,000000;0,095973
2025-07-30 00:00:00;1667,000000;0,094851
2025-07-31 00:00:00;1543,000000;0,093210
2025-08-01 00:00:00;1849,000000;0,093289
2025-08-02 00:00:00;67,000000;0,084301
2025-08-05 00:00:00;350,000000;0,077650
2025-08-06 00:00:00;2331,000000;0,081736
2025-08-07 00:00:00;5829,000000;0,103196
2025-08-08 00:00:00;3432,000000;0,110324
2025-08-09 00:00:00;500,000000;0,101834
2025-08-10 00:00:00;468,000000;0,094030
