"pos","neu","neg","datemonth"
"9","24","5","2024-11-17"
"675","1704","782","2024-11-20"
"3842","7854","2382","2024-11-21"
"4730","6707","4892","2024-11-22"
"2200","5580","2876","2024-11-23"
"9","10","7","2024-11-24"
"3004","3920","982","2024-11-27"
"3762","5939","2477","2024-11-28"
"2031","5654","2818","2024-11-29"
"1872","3914","2658","2024-11-30"
"1","5","13","2024-12-01"
"29","103","66","2024-12-03"
"2036","4179","2182","2024-12-04"
"5239","6846","2877","2024-12-05"
"2461","5220","1311","2024-12-06"
"1367","4220","1203","2024-12-07"
"0","11","0","2024-12-08"
"3583","11737","6368","2024-12-11"
"4213","9192","7361","2024-12-12"
"23","14","9","2024-12-13"
"560","1345","598","2024-12-16"
"4499","10759","8444","2024-12-17"
"3969","7241","8522","2024-12-18"
"15","24","24","2024-12-19"
"524","1141","2282","2024-12-23"
"6680","11251","6773","2024-12-24"
"2952","9287","4077","2024-12-25"
"7","20","6","2024-12-26"
"1471","2712","773","2024-12-29"
"3059","6381","2430","2024-12-30"
"3745","4035","1962","2024-12-31"
"4247","3923","2888","2025-01-01"
"7","11","6","2025-01-02"
"1031","1956","926","2025-01-04"
"2397","3935","2847","2025-01-05"
"3225","3856","3150","2025-01-06"
"2438","3503","3101","2025-01-07"
"1929","3587","2738","2025-01-08"
"7","15","9","2025-01-09"
"1239","2861","3612","2025-01-12"
"2343","4480","4201","2025-01-13"
"1964","4668","2766","2025-01-14"
"1956","4020","2564","2025-01-15"
"8","11","7","2025-01-16"
"984","1850","814","2025-01-19"
"2489","3464","2593","2025-01-20"
"2342","3067","2385","2025-01-21"
"2498","8200","2980","2025-01-22"
"10","15","9","2025-01-23"
"2092","4766","6357","2025-01-28"
"5754","13292","8382","2025-01-29"
"11","32","14","2025-01-30"
"220","385","309","2025-02-01"
"1556","3243","2700","2025-02-02"
"1563","3617","2135","2025-02-03"
"2691","4122","1463","2025-02-04"
"3376","3546","1701","2025-02-05"
"9","9","5","2025-02-06"
"5285","6187","4622","2025-02-10"
"3418","5365","4245","2025-02-11"
"3310","5983","3938","2025-02-12"
"21","15","11","2025-02-13"
"3056","5269","5680","2025-02-14"
"2547","5763","5119","2025-02-15"
"1209","3751","1936","2025-02-16"
"1879","5347","3309","2025-02-17"
"5","17","13","2025-02-18"
"541","1571","652","2025-02-20"
"1775","4458","2341","2025-02-21"
"1189","2839","1855","2025-02-22"
"1571","5181","1721","2025-02-23"
"1332","3260","1648","2025-02-24"
"3","4","9","2025-02-25"
"613","1391","1635","2025-02-27"
"3013","4275","4217","2025-02-28"
"1521","2554","1235","2025-03-01"
"1347","3557","2815","2025-03-02"
"1919","4285","1998","2025-03-03"
"8","14","3","2025-03-04"
"1732","3401","1049","2025-03-07"
"2495","3609","2521","2025-03-08"
"2189","3722","3435","2025-03-09"
"1758","5201","1747","2025-03-10"
"6","28","7","2025-03-11"
"1113","4695","1634","2025-03-15"
"1534","5133","3043","2025-03-16"
"5151","5525","6111","2025-03-17"
"24","21","16","2025-03-18"
"1935","4172","2644","2025-03-21"
"1671","3485","2714","2025-03-22"
"1311","3181","1731","2025-03-23"
"1730","4082","2313","2025-03-24"
"5","11","15","2025-03-25"
"1580","1917","796","2025-03-27"
"3206","4614","1895","2025-03-28"
"1621","2548","1837","2025-03-29"
"1105","3565","1766","2025-03-30"
"2860","4053","2269","2025-03-31"
"87","122","59","2025-04-01"
"997","1662","631","2025-04-04"
"1524","4112","1370","2025-04-05"
"1788","3185","1208","2025-04-06"
"2456","5403","1639","2025-04-07"
"106","199","70","2025-04-08"
"1546","2018","1436","2025-04-11"
"2332","3672","3702","2025-04-12"
"1660","4000","3271","2025-04-13"
"1543","4210","3152","2025-04-14"
"35","151","122","2025-04-15"
"1486","6235","3722","2025-04-19"
"1113","4527","3297","2025-04-20"
"1229","4012","2147","2025-04-21"
"55","106","71","2025-04-22"
"1228","3045","2524","2025-04-26"
"1109","2451","1820","2025-04-27"
"2937","10067","3569","2025-04-28"
"114","274","112","2025-04-29"
"447","1029","381","2025-05-03"
"1691","8803","3398","2025-05-04"
"2924","9809","10889","2025-05-05"
"176","443","810","2025-05-06"
"432","799","477","2025-05-08"
"3141","9091","7911","2025-05-09"
"2112","5396","4353","2025-05-10"
"1527","3126","2537","2025-05-11"
"1235","2622","1527","2025-05-12"
"30","130","54","2025-05-13"
"700","1354","781","2025-05-16"
"1277","4268","2806","2025-05-17"
"1858","6554","1685","2025-05-18"
"1401","4929","4296","2025-05-19"
"96","284","361","2025-05-20"
"927","3838","2334","2025-05-21"
"3642","11841","7032","2025-05-22"
"3349","8207","4793","2025-05-23"
"101","326","110","2025-05-24"
"2876","6356","2167","2025-05-28"
"1838","6511","2639","2025-05-29"
"1626","7316","2412","2025-05-30"
"54","250","55","2025-05-31"
"1731","3605","6699","2025-06-04"
"1727","5204","5239","2025-06-05"
"2397","5669","5253","2025-06-06"
"136","173","117","2025-06-07"
"107","136","227","2025-06-10"
"1796","4005","2760","2025-06-11"
"2122","6692","2483","2025-06-12"
"2645","4379","3069","2025-06-13"
"61","95","123","2025-06-14"
"322","722","503","2025-06-17"
"2033","3504","3045","2025-06-18"
"5095","4772","2487","2025-06-19"
"1853","3974","3019","2025-06-20"
"43","127","151","2025-06-21"
"985","2361","974","2025-06-24"
"3081","5324","3087","2025-06-25"
"2581","8275","3943","2025-06-26"
"1958","5612","1843","2025-06-27"
"47","169","60","2025-06-28"
"522","934","763","2025-06-30"
"3422","5927","3365","2025-07-01"
"1934","5041","2713","2025-07-02"
"1539","3962","2449","2025-07-03"
"1489","4089","2509","2025-07-04"
"44","164","84","2025-07-05"
"1641","5902","1598","2025-07-08"
"1181","3677","1223","2025-07-09"
"1878","3859","2553","2025-07-10"
"1648","4432","2522","2025-07-11"
"34","154","98","2025-07-12"
"1693","2560","1036","2025-07-15"
"1671","3441","2021","2025-07-16"
"2105","4185","2421","2025-07-17"
"3111","5150","8274","2025-07-18"
"104","249","279","2025-07-19"
"691","3117","1599","2025-07-22"
"1205","3725","1759","2025-07-23"
"1620","5717","1678","2025-07-24"
"1225","4289","3390","2025-07-25"
"31","107","97","2025-07-26"
"606","1899","721","2025-07-29"
"3024","4540","1667","2025-07-30"
"3384","4607","1543","2025-07-31"
"3324","5379","1849","2025-08-01"
"88","202","67","2025-08-02"
"309","694","350","2025-08-05"
"1711","2924","2331","2025-08-06"
"1514","2775","5829","2025-08-07"
"1418","4040","3432","2025-08-08"
"395","1428","500","2025-08-09"
"333","1249","468","2025-08-10"
